FirstName,LastName,Title,Category,Language,Location,Type
Pimsleur,,French Level 1 Lessons 26-30: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Pimsleur,,French Level 1 Lessons 21-25: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Madeline,Miller,The Song of Achilles: A Novel,Fiction,English,Audible,Audiobook
George R.R.,Martin,"A Feast for Crows: A Song of Ice and Fire, Book 4",Fantasy,English,Audible,Audiobook
George R.R.,Martin,"A Dance with Dragons: A Song of Ice and Fire, Book 5",Fantasy,English,Audible,Audiobook
Pimsleur,,French Level 1 Lessons 16-20: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Pimsleur,,French Level 1 Lessons 11-15: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Pimsleur,,French Level 1 Lessons 6-10: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Pimsleur,,French Level 1 Lessons 1-5: Learn to Speak and Understand French with Pimsleur Language Programs,Language Learning,French,Audible,Audiobook
Al,Ries,The 22 Immutable Laws of Marketing,Business,English,Audible,Audiobook
George R.R.,Martin,"A Storm of Swords: A Song of Ice and Fire, Book 3",Fantasy,English,Audible,Audiobook
George R.R.,Martin,"A Game of Thrones: A Song of Ice and Fire, Book 1",Fantasy,English,Audible,Audiobook
George R.R.,Martin,"A Clash of Kings: A Song of Ice and Fire, Book 2",Fantasy,English,Audible,Audiobook
Pittacus,Lore,I Am Number Four,Science Fiction,English,Audible,Audiobook
Neil,Gaiman,Good Omens,Fantasy,English,Audible,Audiobook
Stephen,King,The Stand,Horror,English,Audible,Audiobook
Stephen,King,It,Horror,English,Audible,Audiobook
Stephen,King,The Shining,Horror,English,Audible,Audiobook
Stephen,King,Carrie,Horror,English,Audible,Audiobook
Stephen,King,Pet Sematary,Horror,English,Audible,Audiobook
Stephen,King,Salem's Lot,Horror,English,Audible,Audiobook
Ursula K.,Le Guin,The Left Hand of Darkness,Science Fiction,English,Audible,Audiobook
Stephen,King,The Dark Tower: The Gunslinger,Fantasy,English,Audible,Audiobook
Whitley,Strieber,Communion,Nonfiction,English,Audible,Audiobook
Frank,Herbert,Dune,Science Fiction,English,Audible,Audiobook
Robert Charles,Wilson,Spin,Science Fiction,English,Audible,Audiobook
Frank,Herbert,Dune Messiah,Science Fiction,English,Audible,Audiobook
Stephen,King,The Dark Tower II: The Drawing of the Three,Fantasy,English,Audible,Audiobook
Arthur C.,Clarke,2001: A Space Odyssey,Science Fiction,English,Audible,Audiobook
Jack,Finney,Invasion of the Body Snatchers,Science Fiction,English,Audible,Audiobook
Brandon,Sanderson,The Way of Kings,Fantasy,English,Audible,Audiobook
George R.,Stewart,Earth Abides,Science Fiction,English,Audible,Audiobook
Larry,Niven,Lucifer's Hammer,Science Fiction,English,Audible,Audiobook
Brandon,Sanderson,Words of Radiance,Fantasy,English,Audible,Audiobook
Brandon,Sanderson,Oathbringer,Fantasy,English,Audible,Audiobook
Kevin J.,Anderson,The Edge of the World,Fantasy,English,Audible,Audiobook
Roy,Strong,The Story of Britain,History,English,Audible,Audiobook
Kevin J.,Anderson,The Map of All Things,Fantasy,English,Audible,Audiobook
William R.,Forstchen,One Second After,Science Fiction,English,Audible,Audiobook
Lincoln,Child,Deep Storm,Thriller,English,Audible,Audiobook
Larry,Niven,Bowl of Heaven,Science Fiction,English,Audible,Audiobook
Dean,Koontz,The Good Guy,Thriller,English,Audible,Audiobook
Susanna,Clarke,Jonathan Strange & Mr Norrell,Fantasy,English,Audible,Audiobook
Philip K.,Dick,Do Androids Dream of Electric Sheep?,Science Fiction,English,Audible,Audiobook
Lian,Hearn,Across the Nightingale Floor,Fantasy,English,Audible,Audiobook
Kevin J.,Anderson,The Winds of Dune,Science Fiction,English,Audible,Audiobook
Lois McMaster,Bujold,The Curse of Chalion,Fantasy,English,Audible,Audiobook
Robert,Jordan,The Eye of the World,Fantasy,English,Audible,Audiobook
Ron,McLarty,The Memory of Running,Fiction,English,Audible,Audiobook
Robert,Jordan,The Great Hunt,Fantasy,English,Audible,Audiobook
Kurt,Vonnegut,Slaughterhouse-Five or The Children's Crusade: A Duty Dance with Death,Science Fiction,English,Audible,Audiobook
Philip K.,Dick,Martian Time Slip,Science Fiction,English,Audible,Audiobook
Philip,Pullman,The Ruby in the Smoke: A Sally Lockhart Mystery,Mystery,English,Audible,Audiobook
