FirstName,LastName,Title,Category,Language,Location,Type
Jack,McDevitt,Coyote,Science Fiction,English,Cary,book
Jack,McDevitt,Omega,Science Fiction,English,Cary,book
Günter de,Bruyn,Unknown Title,Fiction,German,Cary,book
Stanislaw,Lem,Solaris,Science Fiction,German,Cary,book
Stanislaw,Lem,Eden,Science Fiction,German,Cary,book
Stanislaw,Lem,Der Unbesiegbare,Science Fiction,German,Cary,book
Stanislaw,Lem,Die Astronauten,Science Fiction,German,Cary,book
Jack,McDevitt,Ancient Shores,Science Fiction,English,Cary,book
Sebastian,Junger,The Perfect Storm,Nonfiction,English,Cary,book
Stanislaw,Lem,Robotermärchen,Science Fiction,German,Cary,book
Graham,Greene,The Quiet American,Fiction,English,Cary,book
Harlan,Coben,Six Years,Thriller,English,Cary,book
Fyodor,Dostoevsky,Meistererzählungen,Classic,German,Cary,book
Neil,Gaiman,Anansi Boys,Fantasy,English,Cary,book
Mary,Shelley,Frankenstein,Classic,English,Cary,book
Siegfried,Lenz,Heimatmuseum,Fiction,German,Cary,book
Carl,Zuckmayer,Der Hauptmann von Köpenick,Classic,German,Cary,book
Friedrich,Dürrenmatt,Justiz,Fiction,German,Cary,book
Honoré de,Balzac,Die Bauern,Classic,German,Cary,book
Marie Luise,Kaschnitz,Der alte Garten,Fiction,German,Cary,book
Ernest,Hemingway,Fiesta: The Sun Also Rises,Classic,English,Cary,book
John,Irving,A Prayer for Owen Meany,Fiction,English,Cary,book
Friedrich,Dürrenmatt,Die Physiker,Fiction,German,Cary,book
Marlen,Haushofer,Die Wand,Fiction,German,Cary,book
Cormac,McCarthy,The Road,Fiction,English,Cary,book
David Foster,Wallace,The Broom of the System,Fiction,English,Cary,book
Fyodor,Dostoevsky,Die Besessenen,Classic,German,Cary,book
Frank,Schätzing,Tod und Teufel,Thriller,German,Cary,book
,,The Quran,Religious Text,English,Cary,book
Jane,Austen,Pride and Prejudice,Classic,English,Cary,book
Oscar,Wilde,The Viking Portable Library,Classic,English,Cary,book
Nathalie,Baccus,Grammaire française,Language Learning,French,Cary,book
Stanisław,Lem,Der Schnupfen Test,Science Fiction,German,Cary,book
Dean R.,Koontz,Midnight,Horror,English,Cary,book
Michael,Crichton,Congo,Thriller,English,Cary,book
Neal,Asher,Skinner,Science Fiction,English,Cary,book
Khaled,Hosseini,A Thousand Splendid Suns,Fiction,English,Cary,book
Paul,Auster,Hand to Mouth,Memoir,English,Cary,book
Thomas,Mann,Felix Krull,Classic,German,Cary,book
,DigiCube,聖剣伝説~LEGEND OF MANA~ ポストカードブック,Gaming/Artbook,Japanese,Cary,book
Robert Charles,Wilson,Spin,Science Fiction,English,Cary,book
Charles,Stross,Accelerando,Science Fiction,English,Cary,book
Comtesse de,Ségur,Les Petites Filles modèles,Children's Classic,French,Cary,book
Comtesse de,Ségur,Les Malheurs de Sophie,Children's Classic,French,Cary,book
Theodor,Fontane,Schach von Wuthenow,Classic,German,Cary,book
Theodor,Fontane,Irrungen Wirrungen,Classic,German,Cary,book
Robin,Hobb,Assassin's Apprentice,Fantasy,English,Cary,book
Poul,Anderson,Starfarers,Science Fiction,English,Cary,book
Ray,Bradbury,From the Dust Returned,Science Fiction,English,Cary,book
Samuel,Beckett,Molloy,Classic,English,Cary,book
Samuel,Beckett,Malone Dies,Classic,English,Cary,book
Samuel,Beckett,The Unnamable,Classic,English,Cary,book
Pénélope,Bagieu,Cadavre exquis,Graphic Novel,French,Cary,book
Stanisław,Lem,Unknown Title,Science Fiction,English,Cary,book
Ian,Stewart,Wheelers,Science Fiction,English,Cary,book
Jack,Cohen,Wheelers,Science Fiction,English,Cary,book
,,ONE YEAR ON A BIKE,Travel/Adventure,English,Cary,book
,,THE LEGEND OF ZELDA BREATH WILD CREATING A CHAMPION,Art Book/Gaming,English,Cary,book
,,A WORLD OF NATURAL WONDERS,Nature/Reference,English,Cary,book
,,IMPRESSIONISTEN,Art History,German,Cary,book
George B.,Bridgman,BRIDGMAN'S COMPLETE GUIDE TO Drawing from Life,Art Instruction,English,Cary,book
Dr Peter,Abrahams,THE HUMAN BODY,Science/Reference,English,Cary,book
Christelle,Thirion,SOPHROLOGIE ET ACTIVITÉS LUDIQUES,Self-help/Activities,French,Cary,book
,,THE USBORNE ENCYCLOPEDIA OF WORLD GEOGRAPHY,Geography/Reference,English,Cary,book
,,THE USBORNE ENCYCLOPEDIA OF WORLD HISTORY,History/Reference,English,Cary,book
Philip,Jodidio,HOMES FOR OUR TIME Contemporary Houses around the World,Architecture/Art,English,Cary,book
,,BIG FAT NOTEBOOK SCIENCE The Complete Middle School Study Guide,Education/Science,English,Cary,book
Tae,Keller,When You TRap a Tiger,Children's Fiction,English,Cary,book
Raymond,Carver,WHAT WE TALK ABOUT WHEN WE TALK ABOUT LOVE,Fiction,English,Cary,book
Annie,Dillard,PILGRIM AT TINKER CREEK,Nonfiction/Nature,English,Cary,book
Ingeborg,Bachmann,Simultan 1031,Fiction,German,Cary,book
Ephraim,Kishon,Drehn Sie sich um Frau Lot,Humor/Fiction,German,Cary,book
Klaus,Mann,Mephisto,Classic/Fiction,German,Cary,book
Robert,Schneider,Schlafes Bruder,Fiction,German,Cary,book
