FirstName,LastName,Title,Category,Language,Location,Type
Umberto,Eco,The Name of the Rose,Fiction,English,River House,book
Bruce,Pascoe,Dark Emu,Nonfiction,English,River House,book
Iain M.,Banks,The Algebraist,Science Fiction,English,River House,book
Bill,Bryson,The Life and Times of the Thunderbolt Kid,Memoir,English,River House,book
Mark,Twain,The Adventures of Huckleberry Finn,Classic,English,River House,book
Kazuo,Ishiguro,The Remains of the Day,Fiction,English,River House,book
Cormac,McCarthy,The Border Trilogy,Fiction,English,River House,book
Stephen,Baxter,Time,Science Fiction,English,River House,book
Gabriel García,Márquez,Love in the Time of Cholera,Fiction,English,River House,book
Khaled,Hosseini,The Kite Runner,Fiction,English,River House,book
