FirstName,LastName,Title,Category,Language,Location,Type
Alex,Gino,Melissa,Fiction,English,library,book
Shaun,Hamill,The dissonance,Fiction,English,library,book
Stephenie,Meyer,Midnight sun,Fantasy,English,library,book
Juliette,Arent,"Arent & Pyke : interiors beyond the primary palette",Design,English,library,book
Susan,Sully,"The allure of Charleston : houses, rooms, and gardens",Design,English,library,book
Gil,Schafer,"A place to call home : tradition, style, and memory in the new American house",Design,English,library,book
Beata,Heuman,"Beata Heuman : every room should sing",Design,English,library,book
Amber,Lewis,"Call it home : the details that matter",Design,English,library,book
Justina,Blakeney,"Jungalow : decorate wild",Design,English,library,book
Liza,Roberts,"Art of the state : celebrating the visual art of North Carolina",Art,English,library,book
Chris,Mitchell,"Patina modern : a guide to designing warm, timeless interiors",Design,English,library,book
Thomas,Halliday,"Otherlands : a journey through Earth's extinct worlds",Science,English,library,book
Johnnie,Christmas,Swim team,Fiction,English,library,book
Jack,Davis,"The Gulf : the making of an American sea",History,English,library,book
Paloma,Contreras,"The new classic home : modern meets traditional style",Design,English,library,book
Helen,Macdonald,"Vesper flights : new and collected essays",Nonfiction,English,library,book
Serena,Mitnik-Miller,Abode,Design,English,library,book
Will,Gompertz,"See what you're missing : new ways of looking at the world through art",Art,English,library,book
Natalie,Walton,"This is home : the art of simple living",Design,English,library,book
Jean,Lin,"What we keep : advice from artists and designers on living with the things you love",Design,English,library,book
Donald,Rattner,"My creative space : how to design your home to stimulate ideas and spark innovation",Design,English,library,book
Bo,Shepherd,"Throwbacks home interiors : one of a kind home design from reclaimed and salvaged goods",Design,English,library,book
Colin,King,Arranging things,Design,English,library,book
June,Reese,"Iconic home : interiors, advice, and stories from 50 amazing Black designers",Design,English,library,book
Paul,O'Leary,The deVOL kitchen,Design,English,library,book
Jeanine,Hays,"AphroChic : celebrating the legacy of the Black family home",Design,English,library,book
David,Dick,"DISC Interiors : portraits of home",Design,English,library,book
Michelle,Slatalla,"Gardenista : the definitive guide to stylish outdoor spaces",Design,English,library,book
Fabien,Toulmé,"Hakim's odyssey. Book 1, From Syria to Turkey",Graphic Novel,French,library,book
Fabien,Toulmé,"Hakim's Odyssey. Book 2, From Turkey to Greece",Graphic Novel,French,library,book
Ashley,Gilbreath,The joy of home,Design,English,library,book
Nathan,Williams,"The Kinfolk home : interiors for slow living",Design,English,library,book
Monty,Don,American gardens,Gardening,English,library,book
Nina,Freudenberger,"Biblio style : how we live at home with books",Design,English,library,book
Kelli,Lamb,"Home with Rue : a well-done home, for everyone",Design,English,library,book
Melanie,Turner,"Inviting interiors : a fresh take on beautiful rooms",Design,English,library,book
Andrea,Schumacher,"Vibrant interiors : living large at home",Design,English,library,book
Kathleen,Haywood,"Archery : steps to success",Sports,English,library,book
Billy,Cotton,"Billy Cotton : interior & design work",Design,English,library,book
Kelly,Wearstler,Evocative style,Design,English,library,book
