FirstName,LastName,Title,Category,Language,Location,Type
Peter,Wohlleben,Das geheime Leben der Bäume,Nonfiction,German,River House,book
Margot Lee,Shetterly,Hidden Figures,Nonfiction,English,River House,book
Anchee,Min,The Last Empress,Fiction,English,River House,book
Lisa,See,Shanghai Girls,Fiction,English,River House,book
Tom,Wolfe,A Man in Full,Fiction,English,River House,book
John,Irving,Trying to Save Piggy Sneed,Fiction,English,River House,book
James,Clemens,Wit'ch Fire,Fantasy,English,River House,book
James,Clemens,Wit'ch Storm,Fantasy,English,River House,book
James,Clemens,Wit'ch War,Fantasy,English,River House,book
James,Clemens,Wit'ch Gate,Fantasy,English,River House,book
James,Clemens,Wit'ch Star,Fantasy,English,River House,book
Sara,Gruen,Water for Elephants,Fiction,English,River House,book
Homer,Homer,The Odyssey,Classic,English,River House,book
The Anonymous Project,,When We Were Young,Photography,English,River House,book
Michelle,Gringeri-Brown,Atomic Ranch,Design,English,River House,book
Kimberly Arcand & Megan,Watzke,Light: The Visible Spectrum and Beyond,Science,English,River House,book
Smithsonian Institution,,Earth and Space,Science,English,River House,book
J.K.,Rowling,Harry Potter and the Cursed Child,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Philosopher's Stone,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Chamber of Secrets,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Prisoner of Azkaban,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Goblet of Fire,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Order of the Phoenix,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Half-Blood Prince,Fantasy,English,River House,book
J.K.,Rowling,Harry Potter and the Deathly Hallows,Fantasy,English,River House,book
Gloria,Koenig,Charles & Ray Eames,Design,English,River House,book
Phil,Baines,Penguin by Design,Design,English,River House,book
Richard,Neutra,Alvar Aalto,Design,English,River House,book
James M.,Herzog,Your Child's Growing Mind,Nonfiction,English,River House,book
Jeanne,Birdsall,The Penderwicks,Fiction,English,River House,book
Taschen,,1000 Record Covers,Design,English,River House,book
John,Irving,A Prayer for Owen Meany,Fiction,English,River House,book
Various,,Meyers Kinderlexikon,Children,German,River House,book
Various,,Blumen Märchen,Children,German,River House,book
Various,,Pixi Bücher (set),Children,German,River House,book
Umberto,Eco,The Name of the Rose,Fiction,English,River House,book
Bruce,Pascoe,Dark Emu,Nonfiction,English,River House,book
Iain M.,Banks,The Algebraist,Science Fiction,English,River House,book
Bill,Bryson,The Life and Times of the Thunderbolt Kid,Memoir,English,River House,book
Mark,Twain,The Adventures of Huckleberry Finn,Classic,English,River House,book
Kazuo,Ishiguro,The Remains of the Day,Fiction,English,River House,book
Cormac,McCarthy,The Border Trilogy,Fiction,English,River House,book
Stephen,Baxter,Time,Science Fiction,English,River House,book
Gabriel García,Márquez,Love in the Time of Cholera,Fiction,English,River House,book
Khaled,Hosseini,The Kite Runner,Fiction,English,River House,book
J.R.R.,Tolkien,The Return of the King,Fantasy,English,River House,book
J.R.R.,Tolkien,The Fellowship of the Ring,Fantasy,English,River House,book
J.R.R.,Tolkien,The Two Towers,Fantasy,English,River House,book
Ken,Follett,Code to Zero,Thriller,English,River House,book
Joseph,Conrad,Heart of Darkness,Classic,English,River House,book
Frank,Schätzing,Der Schwarm,Fiction,German,River House,book
Flannery,O'Connor,The Complete Stories,Fiction,English,River House,book
